id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
243,Daniel Muñoz,47,66.3,43,3.1,4.8,a,1.07,DEF,CRY
244,David Ozoh,45,0.0,0,0.0,0.0,u,0.0,MID,CRY
245,Jesurun Rak-Sakyi,45,0.0,0,0.0,0.0,u,0.0,MID,CRY
246,Jeffrey Schlupp,47,9.6,10,1.0,0.8,a,0.0,MID,CRY
247,Joel Ward,43,0.0,0,0.0,0.0,a,0.0,DEF,CRY
248,Adam Wharton,47,29.7,15,1.9,0.0,i,1.16,MID,CRY
249,Matt Turner,40,0.0,0,0.0,0.0,a,0.0,GKP,CRY
250,Ismaïla Sarr,57,61.5,35,2.5,4.8,a,0.85,MID,CRY
251,Franco Umeh-Chibueze,45,0.0,0,0.0,0.0,d,0.0,MID,CRY
252,Justin Devenny,45,12.3,12,3.0,3.0,a,0.97,MID,CRY
253,Asher Agbinone,45,1.5,2,1.0,0.2,a,0.0,MID,CRY
254,Kaden Rodney,45,0.0,0,0.0,0.0,a,0.0,MID,CRY
255,Maxence Lacroix,45,28.5,31,2.8,2.8,a,1.0,DEF,CRY
256,Caleb Kporha,40,0.6,1,1.0,0.2,a,0.0,DEF,CRY
257,Zach Marsh,45,0.0,0,0.0,0.0,a,0.0,FWD,CRY
258,Armando Broja,54,0.8,1,1.0,0.2,a,0.0,FWD,EVE
259,Abdoulaye Doucouré,51,29.6,27,2.2,2.8,a,1.11,MID,EVE
260,Norberto Bercique Gomes Betuncal,50,15.1,16,1.8,1.0,a,0.5,FWD,EVE
261,Jarrad Branthwaite,48,9.9,23,3.3,4.8,a,0.99,DEF,EVE
262,Dominic Calvert-Lewin,55,64.8,43,3.1,2.5,a,1.07,FWD,EVE
263,Séamus Coleman,43,3.9,1,1.0,0.0,a,1.0,DEF,EVE
264,Idrissa Gueye,49,34.9,26,2.0,2.2,a,1.01,MID,EVE
265,James Garner,49,7.9,7,1.8,0.0,i,0.72,MID,EVE
266,Jack Harrison,53,30.5,24,1.8,0.8,a,0.95,MID,EVE
267,Mason Holgate,40,0.0,1,1.0,0.0,u,0.0,DEF,EVE
268,Tim Iroegbunam,44,10.4,8,1.3,0.0,i,0.94,MID,EVE
269,João Neves Virgínia,40,0.0,0,0.0,0.0,a,0.0,GKP,EVE
270,Michael Keane,42,33.0,32,3.6,0.0,a,1.0,DEF,EVE
271,Neal Maupay,49,0.0,0,0.0,0.0,u,0.0,FWD,EVE
272,Dwight McNeil,55,100.5,65,5.0,3.5,a,1.03,MID,EVE
273,Vitalii Mykolenko,43,31.9,38,3.2,5.5,a,1.06,DEF,EVE
274,Iliman Ndiaye,54,61.1,39,2.8,2.0,a,1.01,FWD,EVE
275,Nathan Patterson,44,2.3,1,1.0,0.2,a,0.0,DEF,EVE
276,Jordan Pickford,49,34.2,58,4.1,5.8,a,1.0,GKP,EVE
277,James Tarkowski,48,55.8,43,3.1,5.2,a,1.01,DEF,EVE
278,Youssef Ramalho Chermiti,49,0.0,0,0.0,0.0,i,0.0,FWD,EVE
279,Ashley Young,46,53.9,57,4.8,7.0,a,1.04,DEF,EVE
280,Jesper Lindstrøm,51,38.4,18,1.8,2.2,a,1.1,MID,EVE
281,Jake O'Brien,46,0.5,1,0.5,0.2,a,0.0,DEF,EVE
282,Harrison Armstrong,45,0.2,1,0.5,0.0,a,0.0,MID,EVE
283,Jenson Metcalfe,45,0.0,0,0.0,0.0,u,0.0,MID,EVE
284,Asmir Begovic,40,0.0,0,0.0,0.0,a,0.0,GKP,EVE
285,Roman Dixon,40,1.6,0,0.0,0.0,a,1.0,DEF,EVE
286,Orel Mangala,50,20.6,22,2.0,3.0,a,0.93,MID,EVE
287,Callum Bates,45,0.0,0,0.0,0.0,a,0.0,MID,EVE
288,Reiss Nelson,50,55.1,27,2.2,2.5,n,0.93,MID,FUL
289,Emile Smith Rowe,56,65.2,59,4.2,4.0,a,1.16,MID,FUL
290,Joachim Andersen,43,26.9,20,2.2,1.8,i,1.03,DEF,FUL
291,Adama Traoré,49,64.3,40,3.1,0.8,a,1.07,MID,FUL
292,Andreas Hoelgebaum Pereira,51,77.1,34,2.6,1.5,a,1.18,MID,FUL
293,Calvin Bassey,45,28.8,28,2.0,2.2,a,1.0,DEF,FUL
294,Steven Benda,40,0.0,0,0.0,0.0,a,0.0,GKP,FUL
295,Tom Cairney,48,18.8,10,1.0,1.2,s,0.0,MID,FUL
296,Timothy Castagne,42,6.7,5,1.0,0.8,a,0.63,DEF,FUL
297,Issa Diop,44,21.5,12,1.3,1.0,a,0.95,DEF,FUL
298,Luke Harris,45,0.0,0,0.0,0.0,u,0.0,MID,FUL
299,Alex Iwobi,56,111.9,74,5.3,8.0,a,1.04,MID,FUL
300,Bernd Leno,50,35.3,43,3.1,3.2,a,1.0,GKP,FUL
301,Saša Lukić,48,19.2,14,1.6,0.8,a,1.16,MID,FUL
302,Kevin Mbabu,40,0.0,0,0.0,0.0,u,0.0,DEF,FUL
303,Rodrigo Muniz Carvalho,55,31.9,24,1.8,1.2,a,0.84,FWD,FUL
304,Raúl Jiménez,56,74.7,53,3.8,2.5,a,1.1,FWD,FUL
305,Tim Ream,45,0.0,0,0.0,0.0,u,0.0,DEF,FUL
306,Harrison Reed,48,3.7,6,0.8,0.2,i,0.0,MID,FUL
307,Antonee Robinson,47,67.4,48,3.4,3.5,a,1.0,DEF,FUL
308,Jay Stansfield,50,0.0,1,1.0,0.0,u,0.0,FWD,FUL
309,Kenny Tete,45,44.6,31,2.4,2.8,a,1.05,DEF,FUL
310,Carlos Vinícius Alves Morais,50,0.0,0,0.0,0.0,a,0.0,FWD,FUL
311,Harry Wilson,52,24.1,27,2.7,2.5,a,0.43,MID,FUL
312,Ryan Sessegnon,42,0.2,1,1.0,0.2,a,0.0,DEF,FUL
313,Jorge Cuenca Barreno,44,0.4,2,1.0,0.2,a,0.0,DEF,FUL
314,Josh King,45,0.6,1,1.0,0.2,a,0.0,MID,FUL
315,Martial Godo,45,0.0,0,0.0,0.0,a,0.0,MID,FUL
316,Sander Berge,50,26.6,18,1.6,1.5,a,0.9,MID,FUL
317,Samuel Amissah,40,0.0,0,0.0,0.0,a,0.0,DEF,FUL
318,Ali Al-Hamadi,48,2.2,3,0.6,0.5,a,0.0,FWD,IPS
319,Elkan Baggott,40,0.0,0,0.0,0.0,u,0.0,DEF,IPS
320,Nathan Broadhead,49,1.1,2,1.0,0.5,a,0.0,MID,IPS
321,Cameron Burgess,40,19.2,9,1.5,1.5,a,1.0,DEF,IPS
322,Wes Burns,48,20.5,18,1.6,2.0,a,1.11,MID,IPS
323,Conor Chaplin,51,17.3,19,1.6,1.0,a,0.95,MID,IPS
324,Harry Clarke,40,6.7,-1,-0.2,0.8,a,0.92,DEF,IPS
325,Leif Davis,45,82.5,38,2.7,1.8,a,1.0,DEF,IPS
326,Liam Delap,56,66.7,57,4.1,4.2,a,1.14,FWD,IPS
327,George Edmundson,40,0.0,1,1.0,0.0,u,0.0,DEF,IPS
328,Jacob Greaves,40,24.9,12,1.5,0.2,a,1.0,DEF,IPS
329,Marcus Myers-Harness,49,1.7,2,1.0,0.0,u,0.0,MID,IPS
330,George Hirst,54,16.7,17,2.1,0.2,i,0.52,FWD,IPS
331,Cameron Humphreys,45,0.0,0,0.0,0.0,u,0.0,MID,IPS
332,Omari Giraud-Hutchinson,52,50.9,35,2.7,3.5,a,1.03,MID,IPS
333,Ben Johnson,40,15.1,7,1.2,0.2,a,0.9,DEF,IPS
334,Freddie Ladapo,45,0.0,0,0.0,0.0,u,0.0,FWD,IPS
335,Massimo Luongo,44,3.0,7,1.4,0.2,a,1.26,MID,IPS
336,Sam Morsy,49,38.5,36,2.8,2.0,a,1.01,MID,IPS
337,Corrie Ndaba,40,0.0,0,0.0,0.0,u,0.0,DEF,IPS
338,Cieran Slicker,40,0.0,0,0.0,0.0,a,0.0,GKP,IPS
339,Jack Taylor,48,9.4,7,0.8,0.8,a,0.0,MID,IPS
340,Axel Tuanzebe,40,18.9,15,1.7,1.0,i,1.05,DEF,IPS
341,Christian Walton,43,2.8,2,2.0,0.0,a,1.0,GKP,IPS
342,Luke Woolfenden,40,8.2,4,0.8,0.0,a,0.95,DEF,IPS
343,Kalvin Phillips,49,14.7,11,1.6,0.0,a,1.18,MID,IPS
344,Arijanet Muric,44,39.0,37,2.8,2.8,a,1.0,GKP,IPS
345,Conor Townsend,40,1.4,1,1.0,0.0,a,0.0,DEF,IPS
346,Sam Szmodics,58,35.2,38,2.9,3.2,a,1.22,MID,IPS
347,Jens Cajuste,45,9.4,12,1.5,1.8,a,1.15,MID,IPS
348,Dara O'Shea,40,37.3,18,1.6,1.5,a,1.03,DEF,IPS
349,Jack Clarke,55,23.9,18,1.5,1.2,a,0.77,MID,IPS
350,Chiedozie Ogbene,49,6.4,7,1.4,0.0,i,1.14,MID,IPS
351,Facundo Buonanotte,50,82.2,49,4.1,3.0,n,1.02,MID,LEI
352,Jordan Ayew,52,39.1,34,2.4,3.0,a,0.88,MID,LEI
353,Odsonne Edouard,52,8.0,7,1.2,0.2,a,0.64,FWD,LEI
354,Boubakary Soumaré,44,8.5,8,1.0,1.5,a,0.94,MID,LEI
355,Tom Cannon,45,0.0,0,0.0,0.0,u,0.0,FWD,LEI
356,Hamza Choudhury,43,0.3,1,1.0,0.0,a,0.0,MID,LEI
357,Conor Coady,40,5.6,2,0.7,0.5,a,0.96,DEF,LEI
358,Patson Daka,48,7.9,9,3.0,2.2,a,0.0,FWD,LEI
359,Bobby De Cordova-Reid,52,5.3,14,1.6,1.5,a,0.92,MID,LEI
360,Wout Faes,41,43.0,24,1.7,0.5,a,0.97,DEF,LEI
361,Michael Golding,44,0.0,0,0.0,0.0,a,0.0,MID,LEI
362,Mads Hermansen,45,46.1,34,2.4,1.8,a,1.0,GKP,LEI
363,Daniel Iversen,40,0.0,0,0.0,0.0,a,0.0,GKP,LEI
364,James Justin,45,46.6,34,2.6,0.8,a,1.01,DEF,LEI
365,Victor Kristiansen,45,46.0,19,1.6,1.2,a,1.04,DEF,LEI
366,Wanya Marçal-Madivádua,45,0.0,0,0.0,0.0,u,0.0,MID,LEI
367,Stephy Mavididi,53,43.9,32,2.5,0.8,a,0.94,MID,LEI
368,Kasey McAteer,47,10.4,13,1.9,2.2,a,1.01,MID,LEI
369,Wilfred Ndidi,50,65.7,36,2.6,1.8,a,1.08,MID,LEI
370,Caleb Okoli,40,26.0,14,1.6,0.2,a,1.07,DEF,LEI
371,Ricardo Barbosa Pereira,42,2.2,2,1.0,0.0,i,1.23,DEF,LEI
372,Harry Souttar,40,0.0,0,0.0,0.0,u,0.0,DEF,LEI
373,Jakub Stolarczyk,40,0.0,0,0.0,0.0,i,0.0,GKP,LEI
374,Luke Thomas,39,3.1,0,0.0,0.0,a,1.0,DEF,LEI
375,Jamie Vardy,55,58.5,54,4.2,2.8,a,1.12,FWD,LEI
376,Jannik Vestergaard,40,13.1,6,1.0,0.5,a,0.95,DEF,LEI
377,Danny Ward,40,0.0,0,0.0,0.0,a,0.0,GKP,LEI
378,Harry Winks,45,40.0,23,2.1,0.8,d,1.04,MID,LEI
379,Oliver Skipp,48,13.2,11,1.4,0.5,a,0.89,MID,LEI
380,Abdul Fatawu,52,40.1,26,2.4,0.5,i,0.94,MID,LEI
381,Will Alves,45,0.0,0,0.0,0.0,a,0.0,MID,LEI
382,Ben Nelson,40,0.0,0,0.0,0.0,u,0.0,DEF,LEI
383,Bilal El Khannouss,48,23.4,24,2.7,4.2,a,1.03,MID,LEI
384,Alisson Ramses Becker,54,12.6,35,5.8,0.0,d,1.02,GKP,LIV
385,Trent Alexander-Arnold,69,66.4,61,4.7,3.8,a,1.12,DEF,LIV
386,Stefan Bajčetić Maquieira,45,0.0,0,0.0,0.0,u,0.0,MID,LIV
387,Conor Bradley,47,12.4,11,1.6,1.5,i,0.39,DEF,LIV
388,Bobby Clark,45,0.0,0,0.0,0.0,u,0.0,MID,LIV
